Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-03-09	1	0	0	0	1	0	1085	0	0	0.0	1085	0.0			
2020-03-10	1	0	0	0	1	0	1085	0	0	0.0	1085	0.0			
2020-03-11	1	0	0	0	1	0	1085	0	0	0.0	1085	0.0			
2020-03-12	1	0	0	0	1	0	1085	0	0	0.0	1085	0.0			
2020-03-13	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-14	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-15	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-16	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-17	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-18	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-19	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-20	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-21	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-22	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-23	1	0	0	0	0	0	1085	0	0	0.0	0	0.0			
2020-03-24	4	0	3	0	3	0	4343	0	3257	0.0	3257	0.0			
2020-03-25	4	0	0	0	3	0	4343	0	0	0.0	3257	0.0			
2020-03-26	4	0	0	0	3	0	4343	0	0	0.0	3257	0.0			
2020-03-27	4	0	0	0	3	0	4343	0	0	0.0	3257	0.0			
2020-03-28	6	0	2	0	5	0	6514	0	2171	0.0	5428	0.0			
2020-03-29	6	0	0	0	5	0	6514	0	0	0.0	5428	0.0			
2020-03-30	6	0	0	0	5	0	6514	0	0	0.0	5428	0.0			
2020-03-31	6	0	0	0	2	0	6514	0	0	0.0	2171	0.0			
2020-04-01	6	0	0	0	2	0	6514	0	0	0.0	2171	0.0			
2020-04-02	7	0	1	0	3	0	7600	0	1085	0.0	3257	0.0			
2020-04-03	7	0	0	0	3	0	7600	0	0	0.0	3257	0.0			
2020-04-04	7	0	0	0	1	0	7600	0	0	0.0	1085	0.0			
2020-04-05	7	0	0	0	1	0	7600	0	0	0.0	1085	0.0			
2020-04-06	7	0	0	0	1	0	7600	0	0	0.0	1085	0.0			
2020-04-07	7	0	0	0	1	0	7600	0	0	0.0	1085	0.0			
2020-04-08	8	0	1	0	2	0	8686	0	1085	0.0	2171	0.0			
2020-04-09	8	0	0	0	1	0	8686	0	0	0.0	1085	0.0			
2020-04-10	8	0	0	0	1	0	8686	0	0	0.0	1085	0.0			
2020-04-11	8	0	0	0	1	0	8686	0	0	0.0	1085	0.0			
2020-04-12	8	0	0	0	1	0	8686	0	0	0.0	1085	0.0			
2020-04-13	8	0	0	0	1	0	8686	0	0	0.0	1085	0.0			
2020-04-14	8	0	0	0	1	0	8686	0	0	0.0	1085	0.0			
2020-04-15	8	0	0	0	0	0	8686	0	0	0.0	0	0.0			
2020-04-16	8	0	0	0	0	0	8686	0	0	0.0	0	0.0			
2020-04-17	8	0	0	0	0	0	8686	0	0	0.0	0	0.0			
2020-04-18	8	0	0	0	0	0	8686	0	0	0.0	0	0.0			
2020-04-19	8	0	0	0	0	0	8686	0	0	0.0	0	0.0			
2020-04-20	9	0	1	0	1	0	9771	0	1085	0.0	1085	0.0			
2020-04-21	9	0	0	0	1	0	9771	0	0	0.0	1085	0.0			
2020-04-22	9	0	0	0	1	0	9771	0	0	0.0	1085	0.0			
2020-04-23	9	0	0	0	1	0	9771	0	0	0.0	1085	0.0			
2020-04-24	9	0	0	0	1	0	9771	0	0	0.0	1085	0.0			
2020-04-25	9	0	0	0	1	0	9771	0	0	0.0	1085	0.0			
2020-04-26	9	0	0	0	1	0	9771	0	0	0.0	1085	0.0			
2020-04-27	9	0	0	0	0	0	9771	0	0	0.0	0	0.0			
2020-04-28	10	0	1	0	1	0	10857	0	1085	0.0	1085	0.0			
2020-04-29	10	0	0	0	1	0	10857	0	0	0.0	1085	0.0			
2020-04-30	11	0	1	0	2	0	11943	0	1085	0.0	2171	0.0			
2020-05-01	11	0	0	0	2	0	11943	0	0	0.0	2171	0.0			
2020-05-02	11	0	0	0	2	0	11943	0	0	0.0	2171	0.0			
2020-05-03	11	0	0	0	2	0	11943	0	0	0.0	2171	0.0			
2020-05-04	11	0	0	0	2	0	11943	0	0	0.0	2171	0.0			
2020-05-05	11	0	0	0	1	0	11943	0	0	0.0	1085	0.0			
2020-05-06	12	0	1	0	2	0	13029	0	1085	0.0	2171	0.0			
2020-05-07	12	0	0	0	1	0	13029	0	0	0.0	1085	0.0			
2020-05-08	12	0	0	0	1	0	13029	0	0	0.0	1085	0.0			
2020-05-09	12	0	0	0	1	0	13029	0	0	0.0	1085	0.0			
2020-05-10	12	0	0	0	1	0	13029	0	0	0.0	1085	0.0			
2020-05-11	12	0	0	0	1	0	13029	0	0	0.0	1085	0.0			
2020-05-12	12	0	0	0	1	0	13029	0	0	0.0	1085	0.0			
2020-05-13	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-14	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-15	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-16	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-17	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-18	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-19	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-20	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-21	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-22	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-23	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-24	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-25	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-26	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-27	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-28	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-29	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-30	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-05-31	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-01	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-02	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-03	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-04	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-05	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-06	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-07	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-08	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-09	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-10	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-11	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-12	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-13	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-14	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-15	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-16	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-17	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-18	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-19	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-20	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-21	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-22	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-23	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-24	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-25	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-26	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-27	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-28	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-29	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-06-30	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-01	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-02	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-03	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-04	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-05	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-06	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-07	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-08	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-09	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-10	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-11	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-12	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-13	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-14	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-15	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-16	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-17	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-18	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-19	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-20	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-21	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-22	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-23	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-24	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-25	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-26	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-27	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-28	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-29	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-30	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-07-31	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-01	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-02	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-03	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-04	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-05	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-06	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-07	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-08	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-09	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-10	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-11	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-12	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-13	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-14	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-15	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-16	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-17	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-18	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-19	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-20	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-21	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-22	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-23	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-24	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-25	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-26	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-27	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-28	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-29	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-30	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-08-31	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-01	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-02	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-03	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-04	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-05	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-06	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-07	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-08	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-09	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-10	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-11	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-12	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-13	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-14	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-15	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-16	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-17	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-18	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-19	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-20	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-21	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-22	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-23	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-24	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-25	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-26	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-27	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-28	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-29	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-09-30	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-01	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-02	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-03	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-04	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-05	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-06	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-07	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-08	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-09	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-10	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-11	12	0	0	0	0	0	13029	0	0	0.0	0	0.0			
2020-10-12	19	0	7	0	7	0	20629	0	7600	0.0	7600	0.0			
2020-10-13	19	0	0	0	7	0	20629	0	0	0.0	7600	0.0			
2020-10-14	19	0	0	0	7	0	20629	0	0	0.0	7600	0.0			
2020-10-15	26	0	7	0	14	0	28230	0	7600	0.0	15200	0.0			
2020-10-16	26	0	0	0	14	0	28230	0	0	0.0	15200	0.0			
2020-10-17	27	0	1	0	15	0	29315	0	1085	0.0	16286	0.0			
2020-10-18	27	0	0	0	15	0	29315	0	0	0.0	16286	0.0			
2020-10-19	27	0	0	0	8	0	29315	0	0	0.0	8686	0.0			
2020-10-20	27	0	0	0	8	0	29315	0	0	0.0	8686	0.0			
2020-10-21	27	0	0	0	8	0	29315	0	0	0.0	8686	0.0			
2020-10-22	27	0	0	0	1	0	29315	0	0	0.0	1085	0.0			
2020-10-23	27	0	0	0	1	0	29315	0	0	0.0	1085	0.0			
2020-10-24	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-25	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-26	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-27	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-28	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-29	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-30	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-10-31	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-01	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-02	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-03	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-04	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-05	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-06	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-07	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-08	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-09	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-10	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-11	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-12	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-13	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-14	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-15	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-16	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-17	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-18	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-19	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-20	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-21	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-22	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-23	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-24	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-25	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-26	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-27	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-28	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-29	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-11-30	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-01	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-02	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-03	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-04	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-05	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-06	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-07	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-08	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-09	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-10	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-11	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-12	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-13	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-14	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-15	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-16	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-17	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-18	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-19	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-20	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-21	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-22	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-23	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-24	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-25	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-26	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-27	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-28	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-29	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-30	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2020-12-31	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-01	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-02	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-03	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-04	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-05	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-06	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-07	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-08	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-09	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-10	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-11	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-12	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-13	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-14	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-15	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-16	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-17	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-18	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-19	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-20	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-21	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-22	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
2021-01-23	27	0	0	0	0	0	29315	0	0	0.0	0	0.0			
