Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-07-28	61	40	65.6	0	0.0	0	0
2020-10-09	59	42	71.2	1	1.7	1	100.0
2020-05-02	66	38	57.6	3	4.5	2	66.7
2020-04-26	66	28	42.4	3	4.5	2	66.7
2020-11-27	50	47	94.0	10	20.0	9	90.0
2020-10-07	59	38	64.4	1	1.7	0	0.0
2020-08-27	59	39	66.1	2	3.4	2	100.0
2020-09-02	59	39	66.1	1	1.7	1	100.0
2020-08-24	59	32	54.2	2	3.4	2	100.0
2020-10-15	59	43	72.9	1	1.7	1	100.0
2020-08-12	57	34	59.6	1	1.8	1	100.0
2020-11-18	52	44	84.6	11	21.2	10	90.9
2020-08-21	59	43	72.9	2	3.4	2	100.0
2020-06-05	62	40	64.5	0	0.0	0	0
2020-08-30	59	39	66.1	3	5.1	3	100.0
2020-09-20	59	40	67.8	1	1.7	0	0.0
2020-11-25	52	48	92.3	12	23.1	10	83.3
2020-05-29	62	39	62.9	0	0.0	0	0
2020-11-16	52	40	76.9	9	17.3	8	88.9
2020-07-22	59	34	57.6	0	0.0	0	0
2020-09-04	59	40	67.8	1	1.7	0	0.0
2020-07-14	59	31	52.5	0	0.0	0	0
2020-08-29	59	39	66.1	3	5.1	3	100.0
2020-10-30	53	39	73.6	5	9.4	4	80.0
2020-08-09	57	33	57.9	1	1.8	1	100.0
2020-12-15	51	46	90.2	15	29.4	10	66.7
2020-06-03	64	42	65.6	0	0.0	0	0
2020-12-16	52	46	88.5	19	36.5	14	73.7
2020-07-19	59	36	61.0	0	0.0	0	0
2020-10-13	59	37	62.7	1	1.7	1	100.0
2020-09-10	59	37	62.7	1	1.7	0	0.0
2020-09-05	59	35	59.3	1	1.7	0	0.0
2020-08-01	59	36	61.0	0	0.0	0	0
2020-08-17	59	32	54.2	1	1.7	1	100.0
2020-10-02	59	40	67.8	0	0.0	0	0
2020-07-04	60	39	65.0	0	0.0	0	0
2020-06-13	62	37	59.7	0	0.0	0	0
2020-11-17	52	42	80.8	10	19.2	8	80.0
2020-09-30	59	40	67.8	0	0.0	0	0
2020-12-13	52	40	76.9	12	23.1	8	66.7
2020-10-28	53	37	69.8	3	5.7	3	100.0
2020-07-30	60	38	63.3	0	0.0	0	0
2020-05-25	60	37	61.7	0	0.0	0	0
2020-08-31	59	39	66.1	1	1.7	1	100.0
2020-06-04	62	43	69.4	0	0.0	0	0
2020-09-15	59	38	64.4	1	1.7	0	0.0
2020-11-08	52	39	75.0	8	15.4	3	37.5
2020-09-13	59	37	62.7	1	1.7	0	0.0
2020-09-21	59	34	57.6	1	1.7	0	0.0
2020-08-19	59	33	55.9	2	3.4	2	100.0
2020-04-27	66	29	43.9	3	4.5	2	66.7
2020-08-20	59	43	72.9	2	3.4	2	100.0
2020-07-11	59	38	64.4	0	0.0	0	0
2020-10-29	53	39	73.6	4	7.5	3	75.0
2020-06-19	61	41	67.2	0	0.0	0	0
2020-05-03	66	38	57.6	2	3.0	2	100.0
2020-07-12	59	32	54.2	0	0.0	0	0
2020-10-01	59	36	61.0	0	0.0	0	0
2020-08-23	59	36	61.0	2	3.4	2	100.0
2020-10-21	56	41	73.2	2	3.6	1	50.0
2020-09-26	59	38	64.4	0	0.0	0	0
2020-06-12	62	38	61.3	0	0.0	0	0
2020-09-24	59	41	69.5	0	0.0	0	0
2020-11-11	52	39	75.0	4	7.7	3	75.0
2020-11-10	52	42	80.8	9	17.3	6	66.7
2020-08-03	58	33	56.9	0	0.0	0	0
2020-05-26	60	40	66.7	0	0.0	0	0
2020-09-23	59	38	64.4	0	0.0	0	0
2020-10-05	59	38	64.4	0	0.0	0	0
2020-10-22	52	47	90.4	3	5.8	1	33.3
2020-05-17	58	43	74.1	0	0.0	0	0
2020-09-08	59	39	66.1	1	1.7	0	0.0
2020-05-14	62	36	58.1	0	0.0	0	0
2020-05-05	66	35	53.0	2	3.0	2	100.0
2020-08-15	59	34	57.6	1	1.7	1	100.0
2020-07-23	61	35	57.4	0	0.0	0	0
2020-05-11	75	36	48.0	0	0.0	0	0
2020-06-27	60	39	65.0	0	0.0	0	0
2020-07-03	60	42	70.0	0	0.0	0	0
2020-08-04	57	37	64.9	0	0.0	0	0
2020-05-09	66	43	65.2	2	3.0	2	100.0
2020-10-11	59	34	57.6	1	1.7	1	100.0
2020-08-08	57	33	57.9	1	1.8	1	100.0
2020-07-15	59	30	50.8	0	0.0	0	0
2020-09-06	59	34	57.6	1	1.7	0	0.0
2020-11-21	52	42	80.8	12	23.1	8	66.7
2020-12-11	52	47	90.4	15	28.8	9	60.0
2020-11-26	50	43	86.0	11	22.0	9	81.8
2020-09-03	59	40	67.8	1	1.7	1	100.0
2020-05-07	66	38	57.6	2	3.0	1	50.0
2020-05-18	58	41	70.7	0	0.0	0	0
2020-11-13	52	38	73.1	8	15.4	6	75.0
2020-11-29	50	47	94.0	11	22.0	11	100.0
2020-12-04	52	42	80.8	8	15.4	7	87.5
2020-08-06	57	39	68.4	1	1.8	1	100.0
2020-09-19	59	39	66.1	1	1.7	0	0.0
2020-06-11	62	42	67.7	0	0.0	0	0
2020-07-25	58	37	63.8	0	0.0	0	0
2020-06-18	62	38	61.3	0	0.0	0	0
2020-05-22	60	41	68.3	0	0.0	0	0
2020-06-28	60	38	63.3	0	0.0	0	0
2020-12-07	52	44	84.6	9	17.3	7	77.8
2020-07-08	59	37	62.7	0	0.0	0	0
2020-06-26	61	37	60.7	0	0.0	0	0
2020-10-20	57	46	80.7	1	1.8	0	0.0
2020-06-25	62	38	61.3	0	0.0	0	0
2020-04-28	66	28	42.4	3	4.5	2	66.7
2020-06-06	62	46	74.2	0	0.0	0	0
2020-10-16	59	41	69.5	1	1.7	1	100.0
2020-07-07	59	35	59.3	0	0.0	0	0
2020-08-05	57	37	64.9	0	0.0	0	0
2020-07-16	59	37	62.7	0	0.0	0	0
2020-07-20	59	34	57.6	0	0.0	0	0
2020-08-26	59	38	64.4	2	3.4	2	100.0
2020-05-06	66	35	53.0	2	3.0	1	50.0
2020-08-13	57	38	66.7	1	1.8	1	100.0
2020-05-01	66	35	53.0	2	3.0	2	100.0
2020-08-18	59	32	54.2	1	1.7	1	100.0
2020-05-19	60	41	68.3	0	0.0	0	0
2020-11-23	52	42	80.8	10	19.2	10	100.0
2020-07-29	59	40	67.8	0	0.0	0	0
2020-08-02	59	34	57.6	0	0.0	0	0
2020-06-07	62	43	69.4	0	0.0	0	0
2020-12-12	52	44	84.6	15	28.8	9	60.0
2020-06-21	0	0		0		0	0
2020-10-14	59	38	64.4	1	1.7	1	100.0
2020-08-11	57	34	59.6	1	1.8	1	100.0
2020-06-20	0	0		0		0	0
2020-05-16	59	40	67.8	0	0.0	0	0
2020-08-14	59	35	59.3	1	1.7	1	100.0
2020-07-17	59	35	59.3	0	0.0	0	0
2020-11-01	52	38	73.1	5	9.6	4	80.0
2020-04-29	66	37	56.1	3	4.5	2	66.7
2020-05-24	61	44	72.1	0	0.0	0	0
2020-11-28	50	45	90.0	12	24.0	10	83.3
2020-05-13	62	37	59.7	0	0.0	0	0
2020-07-05	60	36	60.0	0	0.0	0	0
2020-10-24	53	46	86.8	2	3.8	1	50.0
2020-04-30	66	32	48.5	2	3.0	2	100.0
2020-05-28	60	38	63.3	0	0.0	0	0
2020-06-17	62	42	67.7	0	0.0	0	0
2020-12-08	52	46	88.5	12	23.1	9	75.0
2020-08-25	59	32	54.2	2	3.4	2	100.0
2020-05-12	75	34	45.3	0	0.0	0	0
2020-07-24	59	36	61.0	0	0.0	0	0
2020-11-04	52	35	67.3	5	9.6	3	60.0
